Total Ships,Average Wait Time,Total Fees Collected,Simulation Time,Scenario
87,0.8811449431614283,74841.6514840252,1000,"Scenario 1/180: AR=0.1, ST=2.5, Locks=1"
82,0.030353634321670597,81170.32199439216,1000,"Scenario 2/180: AR=0.1, ST=2.5, Locks=2"
82,0.0,82000.0,1000,"Scenario 3/180: AR=0.1, ST=2.5, Locks=3"
82,0.0,82000.0,1000,"Scenario 4/180: AR=0.1, ST=2.5, Locks=4"
82,0.0,82000.0,1000,"Scenario 5/180: AR=0.1, ST=2.5, Locks=5"
93,2.7335509168621197,64011.06732158091,1000,"Scenario 6/180: AR=0.1, ST=5, Locks=1"
87,0.47583949104978535,78790.01085511134,1000,"Scenario 7/180: AR=0.1, ST=5, Locks=2"
82,0.006130056201176164,81665.48449623804,1000,"Scenario 8/180: AR=0.1, ST=5, Locks=3"
82,0.0,82000.0,1000,"Scenario 9/180: AR=0.1, ST=5, Locks=4"
82,0.0,82000.0,1000,"Scenario 10/180: AR=0.1, ST=5, Locks=5"
91,10.891869216451008,35456.77939383366,1000,"Scenario 11/180: AR=0.1, ST=7.5, Locks=1"
97,1.8204644951847015,77055.67756263667,1000,"Scenario 12/180: AR=0.1, ST=7.5, Locks=2"
81,0.11726339562042515,80346.49091052444,1000,"Scenario 13/180: AR=0.1, ST=7.5, Locks=3"
81,0.0,82000.0,1000,"Scenario 14/180: AR=0.1, ST=7.5, Locks=4"
81,0.0,82000.0,1000,"Scenario 15/180: AR=0.1, ST=7.5, Locks=5"
79,16.33624377249169,28960.54484622424,1000,"Scenario 16/180: AR=0.1, ST=10, Locks=1"
95,3.9754626825568335,64720.56355183473,1000,"Scenario 17/180: AR=0.1, ST=10, Locks=2"
81,0.3053359026269227,77916.79057656116,1000,"Scenario 18/180: AR=0.1, ST=10, Locks=3"
81,0.0,82000.0,1000,"Scenario 19/180: AR=0.1, ST=10, Locks=4"
81,0.0,82000.0,1000,"Scenario 20/180: AR=0.1, ST=10, Locks=5"
182,1.9066121139069963,127089.96837899787,1000,"Scenario 21/180: AR=0.2, ST=2.5, Locks=1"
188,0.22423693163017153,175446.69359983428,1000,"Scenario 22/180: AR=0.2, ST=2.5, Locks=2"
182,0.03476015333138586,180344.72263331022,1000,"Scenario 23/180: AR=0.2, ST=2.5, Locks=3"
179,0.007506665415082718,178426.677023554,1000,"Scenario 24/180: AR=0.2, ST=2.5, Locks=4"
179,0.0,179000.0,1000,"Scenario 25/180: AR=0.2, ST=2.5, Locks=5"
172,22.3024995787142,47235.81899984109,1000,"Scenario 26/180: AR=0.2, ST=5, Locks=1"
215,1.9046647859922565,155297.49751996197,1000,"Scenario 27/180: AR=0.2, ST=5, Locks=2"
177,0.2868360272602959,165426.24324962002,1000,"Scenario 28/180: AR=0.2, ST=5, Locks=3"
178,0.08554829655635396,174367.56973877177,1000,"Scenario 29/180: AR=0.2, ST=5, Locks=4"
183,0.017396321903673174,183239.46319028683,1000,"Scenario 30/180: AR=0.2, ST=5, Locks=5"
