Total Ships,Average Wait Time,Total Fees Collected,Simulation Time,Scenario
108,0.3604640528903698,97160.14071570247,1000,"Scenario 1/180: AR=0.1, ST=2.5, Locks=1"
103,0.0042408953803813355,102695.98516992797,1000,"Scenario 2/180: AR=0.1, ST=2.5, Locks=2"
103,0.0,103000.0,1000,"Scenario 3/180: AR=0.1, ST=2.5, Locks=3"
103,0.0,103000.0,1000,"Scenario 4/180: AR=0.1, ST=2.5, Locks=4"
103,0.0,103000.0,1000,"Scenario 5/180: AR=0.1, ST=2.5, Locks=5"
98,5.615284781213068,58003.8174345296,1000,"Scenario 6/180: AR=0.1, ST=5, Locks=1"
103,0.05203652615474666,101100.59803014676,1000,"Scenario 7/180: AR=0.1, ST=5, Locks=2"
103,0.0,103000.0,1000,"Scenario 8/180: AR=0.1, ST=5, Locks=3"
103,0.0,103000.0,1000,"Scenario 9/180: AR=0.1, ST=5, Locks=4"
103,0.0,103000.0,1000,"Scenario 10/180: AR=0.1, ST=5, Locks=5"
104,35.01560268700564,16836.859315662496,1000,"Scenario 11/180: AR=0.1, ST=7.5, Locks=1"
101,0.5725511711259547,91707.08676881694,1000,"Scenario 12/180: AR=0.1, ST=7.5, Locks=2"
103,0.0,103000.0,1000,"Scenario 13/180: AR=0.1, ST=7.5, Locks=3"
103,0.0,103000.0,1000,"Scenario 14/180: AR=0.1, ST=7.5, Locks=4"
103,0.0,103000.0,1000,"Scenario 15/180: AR=0.1, ST=7.5, Locks=5"
90,81.3018371691884,10793.518288049465,1000,"Scenario 16/180: AR=0.1, ST=10, Locks=1"
100,2.3237090223565118,79209.31193232209,1000,"Scenario 17/180: AR=0.1, ST=10, Locks=2"
103,0.04274332453155611,101613.14659176304,1000,"Scenario 18/180: AR=0.1, ST=10, Locks=3"
103,0.0,103000.0,1000,"Scenario 19/180: AR=0.1, ST=10, Locks=4"
103,0.0,103000.0,1000,"Scenario 20/180: AR=0.1, ST=10, Locks=5"
190,1.7469904419324471,137037.1745449086,1000,"Scenario 21/180: AR=0.2, ST=2.5, Locks=1"
200,0.3754934416121575,188862.19514152696,1000,"Scenario 22/180: AR=0.2, ST=2.5, Locks=2"
200,0.0018223290681049775,199732.8875447207,1000,"Scenario 23/180: AR=0.2, ST=2.5, Locks=3"
200,0.0,200000.0,1000,"Scenario 24/180: AR=0.2, ST=2.5, Locks=4"
200,0.0,200000.0,1000,"Scenario 25/180: AR=0.2, ST=2.5, Locks=5"
183,45.43922506000703,14991.357252127069,1000,"Scenario 26/180: AR=0.2, ST=5, Locks=1"
191,0.802526852604373,163860.0869642081,1000,"Scenario 27/180: AR=0.2, ST=5, Locks=2"
200,0.17264561209812918,192079.59132860295,1000,"Scenario 28/180: AR=0.2, ST=5, Locks=3"
200,0.02964111563366771,198089.7481998702,1000,"Scenario 29/180: AR=0.2, ST=5, Locks=4"
200,0.0,200000.0,1000,"Scenario 30/180: AR=0.2, ST=5, Locks=5"
141,135.83633178822893,9985.740641953214,1000,"Scenario 31/180: AR=0.2, ST=7.5, Locks=1"
197,6.440925235283164,89501.18091635112,1000,"Scenario 32/180: AR=0.2, ST=7.5, Locks=2"
200,1.3324166945461342,170101.847992492,1000,"Scenario 33/180: AR=0.2, ST=7.5, Locks=3"
199,0.17674434287862936,195018.84470490174,1000,"Scenario 34/180: AR=0.2, ST=7.5, Locks=4"
199,0.0,200000.0,1000,"Scenario 35/180: AR=0.2, ST=7.5, Locks=5"
95,244.07996685338009,5223.191039252886,1000,"Scenario 36/180: AR=0.2, ST=10, Locks=1"
181,29.67160937879134,32481.164053649634,1000,"Scenario 37/180: AR=0.2, ST=10, Locks=2"
197,1.780883821076827,147205.55384627118,1000,"Scenario 38/180: AR=0.2, ST=10, Locks=3"
201,1.329058729196895,178232.95560985632,1000,"Scenario 39/180: AR=0.2, ST=10, Locks=4"
198,0.052667196598264354,198218.27379732288,1000,"Scenario 40/180: AR=0.2, ST=10, Locks=5"
304,10.494421313288726,96214.0717076462,1000,"Scenario 41/180: AR=0.3, ST=2.5, Locks=1"
295,0.2111130722004662,276255.6839506608,1000,"Scenario 42/180: AR=0.3, ST=2.5, Locks=2"
297,0.027544036754525384,295237.50440713903,1000,"Scenario 43/180: AR=0.3, ST=2.5, Locks=3"
298,0.0,299000.0,1000,"Scenario 44/180: AR=0.3, ST=2.5, Locks=4"
298,0.0,299000.0,1000,"Scenario 45/180: AR=0.3, ST=2.5, Locks=5"
215,155.33085996290743,11797.633521831907,1000,"Scenario 46/180: AR=0.3, ST=5, Locks=1"
296,4.121978616432466,156700.41407730186,1000,"Scenario 47/180: AR=0.3, ST=5, Locks=2"
307,0.7960304774867513,261990.21933475346,1000,"Scenario 48/180: AR=0.3, ST=5, Locks=3"
