Scenario,Total_Ships,Min_Wait_Time,Q1_Wait_Time,Median_Wait_Time,Q3_Wait_Time,Max_Wait_Time,Avg_Wait_Time,Min_Service_Time,Median_Service_Time,Max_Service_Time,Avg_Service_Time,Min_Fee,Median_Fee,Max_Fee,Avg_Fee,Total_Fees,Avg_Cargo_Value,Min_Cargo_Value,Max_Cargo_Value
"Scenario 1/180: AR=0.1, ST=2.5, Locks=1",108,0.0,0.0,0.0,0.0,12.540644414992016,0.3604640528903698,0.008126483902846595,1.5263087937827813,15.016553581496193,2.313378548188458,73.85172886548986,1000.0,1000.0,899.6309325528006,97160.14071570247,232822.2537164005,1000.0,847704.8939047761
"Scenario 10/180: AR=0.1, ST=5, Locks=5",103,0.0,0.0,0.0,0.0,0.0,0.0,0.01625296780569319,2.821988260949623,30.033107162992387,4.650424920946427,1000.0,1000.0,1000.0,1000.0,103000.0,254786.51811583643,1000.0,847704.8939047761
"Scenario 100/180: AR=0.5, ST=10, Locks=5",477,0.0,3.0163923987688577,13.227643013911404,20.26462377912651,44.47770770307886,12.95942989225627,0.03020027286231689,6.69146288134417,77.5736184977793,9.78419308298085,21.98879518134331,70.28571064246039,1000.0,251.49143332598962,119961.41369649705,241825.8046749708,1000.0,847704.8939047761
"Scenario 101/180: AR=0.6, ST=2.5, Locks=1",415,0.0,56.11880372212598,152.3800979988663,245.81185269406404,333.28676235730325,158.27010169846744,0.019634670478031566,1.7776263084527637,19.393404624444823,2.387520938826557,2.991443612508794,6.519750691562288,1000.0,39.879584322488185,16550.027493832597,244093.1504314033,1000.0,847704.8939047761
"Scenario 102/180: AR=0.6, ST=2.5, Locks=2",581,0.0,0.0,0.6875738076315656,3.1761269505839493,15.223743671351713,1.9928741157523742,0.004231775110684905,1.7320142083799355,18.43866584615511,2.551053474229915,61.63805470902654,592.5666749968437,1000.0,602.7967236410118,350224.8964354278,240158.071235404,1000.0,847704.8939047761
"Scenario 103/180: AR=0.6, ST=2.5, Locks=3",571,0.0,0.0,0.0,0.0,6.31551585213947,0.39604712530094544,0.008126483902846595,1.724758641349959,15.016553581496193,2.4640953597931805,136.6957601093221,1000.0,1000.0,883.891195799784,504701.8728016766,233881.92301706655,1000.0,847704.8939047761
"Scenario 104/180: AR=0.6, ST=2.5, Locks=4",614,0.0,0.0,0.0,0.0,3.428911232737505,0.08968358049316168,0.0016904001420039588,1.7735768902281674,19.529329941774524,2.5841979637263814,225.78912681930208,1000.0,1000.0,964.526374218913,592219.1937704126,235247.69377037248,1000.0,847704.8939047761
"Scenario 105/180: AR=0.6, ST=2.5, Locks=5",607,0.0,0.0,0.0,0.0,1.4801171635202763,0.008332391840265017,0.008126483902846595,1.6516878942033877,19.529329941774524,2.5106121618466974,403.2067576116448,1000.0,1000.0,995.6643896818351,604368.2845368739,242360.3873177754,1000.0,847704.8939047761
"Scenario 106/180: AR=0.6, ST=5, Locks=1",225,0.0,163.2002719119261,300.7205601495041,437.0237712030639,603.9453839351934,297.81413164720436,0.032021440929088776,3.054276098414194,29.62048389002501,4.393332524002166,1.6530417894834752,3.314325014856445,1000.0,24.92248443465254,5607.558997796821,232465.9540795016,1000.0,847704.8939047761
"Scenario 107/180: AR=0.6, ST=5, Locks=2",384,0.0,88.79410297688707,193.54672597575404,290.8503805577725,347.6433770939452,188.39398303922053,0.00846355022136981,3.447767978361842,38.78680924888965,5.162768821912111,2.86826042225532,5.1401623006369626,1000.0,22.083371282389347,8480.014572437509,232919.18093644362,1000.0,847704.8939047761
"Scenario 108/180: AR=0.6, ST=5, Locks=3",550,0.0,37.17122007061992,56.01543303637351,75.61748118668515,111.39773334315828,55.220111409560104,0.00846355022136981,3.705010065065589,38.78680924888965,5.390832022060341,8.896976569331063,17.539113261358885,1000.0,55.44542830268575,30494.98556647716,241613.34799821227,1000.0,847704.8939047761
"Scenario 109/180: AR=0.6, ST=5, Locks=4",625,0.0,0.0,0.7130941737277681,4.601379944372084,15.360560874902035,2.5968850427332635,0.0054344707361353795,3.3275672992018226,36.19846793612559,4.973197040503236,61.12259889170749,583.7390701200951,1000.0,595.4678084916688,372167.38030729303,237905.0984960669,1000.0,847704.8939047761
"Scenario 11/180: AR=0.1, ST=7.5, Locks=1",104,0.0,8.265824896985318,28.46036169140308,58.95922709241941,107.10678194124239,35.202905629219885,0.07287566053962088,5.598462578135879,44.43072583503752,8.751689486066336,9.250113471544408,33.948712995516274,1000.0,161.31139954051875,16776.38555221395,223295.75774837035,1000.0,713743.425245989
"Scenario 110/180: AR=0.6, ST=5, Locks=5",599,0.0,0.0,0.0,0.0,6.087319103781965,0.3462738258625703,0.01625296780569319,3.4331154094838103,39.05865988354905,5.014679932995229,141.09707568640104,1000.0,1000.0,891.2854798067638,533880.0024042515,239763.36456326063,1000.0,847704.8939047761
"Scenario 111/180: AR=0.6, ST=7.5, Locks=1",127,0.0,193.72100452643065,392.97523389041845,597.206102536197,768.6125089791717,392.9262503780225,0.048032161393633165,5.472926355689611,34.56225846718866,7.8119209034948485,1.2993551798247387,2.538230614460764,1000.0,26.389937001697053,3351.5219992155257,209791.65938370474,1000.0,847704.8939047761
"Scenario 112/180: AR=0.6, ST=7.5, Locks=2",259,0.0,132.24028520217837,252.8466858704156,393.74489653658736,513.9461413773404,259.2608242166443,0.016182783918491386,5.800858798939011,58.17302819454878,7.654778615375036,1.9419506617241036,3.939385683020037,1000.0,22.04793516044014,5710.4152065539965,236705.27071660507,1000.0,847704.8939047761
"Scenario 113/180: AR=0.6, ST=7.5, Locks=3",404,0.0,86.28771047633067,168.980191192871,262.8014419061186,302.85597732206566,168.58237290411518,0.012695325332054714,5.347569708523629,44.71698179036905,7.368064393475649,3.291032840009171,5.8830385881293825,1000.0,24.93364769884831,10073.193670334718,239411.24728346535,1000.0,847704.8939047761
"Scenario 114/180: AR=0.6, ST=7.5, Locks=4",564,0.0,21.955723579283486,32.071548944258566,39.719450450497874,69.61912751371437,30.851022269247085,0.005071200426011877,4.8396959446525,39.19882166073562,6.991379378489873,14.160469481951587,30.237470936140593,1000.0,82.70902232314874,46647.88859025589,237839.67304628584,1000.0,847704.8939047761
"Scenario 115/180: AR=0.6, ST=7.5, Locks=5",559,0.0,0.8120445986132268,6.196770583539859,16.141639268964866,34.45760011626058,9.08560627807928,0.005071200426011877,5.769708710283787,58.18021387333447,7.951975182805128,28.202698341713425,138.95121268519475,1000.0,339.832971380182,189966.63100152175,242685.00687212445,1000.0,847704.8939047761
